id,value
blue,#0089cc
blue-dark,#0071b1
blue-darker,#0c457b
blue-light,#5da3d9
blue-lighter,#88bae5
green,#109e68
green-dark,#007851
green-darker,#065139
green-light,#5ab88a
green-lighter,#92cba9
grey,#6a6569
grey-dark,#555053
grey-darker,#443e42
grey-light,#847e84
grey-lighter,#a9a6aa
orange,#eb642b
orange-dark,#d85b31
orange-darker,#973915
orange-light,#f18e5e
orange-lighter,#f6bb9d
pink,#c2135b
pink-dark,#ad1257
pink-darker,#7e1850
pink-light,#d64278
pink-lighter,#e4819b
purple,#893f90
purple-dark,#7b3b89
purple-darker,#551f65
purple-light,#a45ea1
purple-lighter,#c189bb
red,#e8443a
red-dark,#bc2629
red-darker,#8f1b13
red-light,#f0826d
red-lighter,#f8c1b2
white,#ffffff
yellow,#f49b21
yellow-dark,#e48a00
yellow-darker,#a85d00
yellow-light,#f9b865
yellow-lighter,#fccc8e
