di_id,alpha_2_code
AD,AD
adaptation-fund,
AE,AE
AF,AF
afdb,
afdf,
africa,
african-development-bank-total,
AG,AG
AI,AI
AL,AL
all-donors-total,
AM,AM
america,
ANHH,
AO,AO
AQ,AQ
AR,AR
arab-fund-afesd,
AS,AS
asdb,
asdb-special-funds,
asia,
asian-development-bank-total,
AT,AT
AU,AU
AW,AW
AX,AX
AZ,AZ
BA,BA
badea,
BB,BB
BD,BD
BE,BE
BF,BF
BG,BG
BH,BH
BI,BI
bilateral-unspecified,
BJ,BJ
BL,BL
BM,BM
bmgf,
BN,BN
BO,BO
BQ,BQ
BR,BR
BS,BS
BT,BT
BV,BV
BW,BW
BY,BY
BZ,BZ
CA,CA
cardb,
CC,CC
CD,CD
ceb,
central-asia,
CF,CF
CG,CG
CH,CH
CI,CI
cif,
CK,CK
CL,CL
CM,CM
CN,CN
CO,CO
country-unspecified,
CR,CR
CU,CU
CV,CV
CW,CW
CX,CX
CY,CY
CZ,CZ
dac-countries-average,
dac-countries-total,
dac-eu-members-and-ec-total,
dac-eu-members-total,
DE,DE
DJ,DJ
DK,DK
DM,DM
DO,DO
DZ,DZ
eac,
east-asia,
ebrd,
EC,EC
EE,EE
EG,EG
EH,EH
ER,ER
ES,ES
ET,ET
EU,
europe,
ex-yugoslavia,
fao,
FI,FI
FJ,FJ
FK,FK
FM,FM
FO,FO
FR,FR
g7-countries-total,
GA,GA
gavi,
GB,GB
GD,GD
GE,GE
gef,
GF,GF
GG,GG
gggi,
GH,GH
GI,GI
GL,GL
global-fund,
GM,GM
GN,GN
GP,GP
GQ,GQ
GR,GR
GS,GS
GT,GT
GU,GU
GW,GW
GY,GY
HK,HK
HM,HM
HN,HN
HR,HR
HT,HT
HU,HU
iaea,
ibrd,
ID,ID
ida,
idb,
idb-special-fund,
IE,IE
ifad,
ifc,
IL,IL
IM,IM
imf,
imf-concessional-trust-funds,
IN,IN
inter-american-development-bank-total,
international-labour-organisation,
international-monetary-fund-total,
IO,IO
IQ,IQ
IR,IR
IS,IS
islamic-dev-bank,
IT,IT
JE,JE
JM,JM
JO,JO
JP,JP
KE,KE
KG,KG
KH,KH
KI,KI
KM,KM
KN,KN
KP,KP
KR,KR
KW,KW
KY,KY
KZ,KZ
LA,LA
LB,LB
LC,LC
LI,LI
LK,LK
LR,LR
LS,LS
LT,LT
LU,LU
LV,LV
LY,LY
MA,MA
MC,MC
MD,MD
ME,ME
MF,MF
MG,MG
MH,MH
middle-east,
MK,MK
ML,ML
MM,MM
MN,MN
MO,MO
montreal-protocol,
MP,MP
MQ,MQ
MR,MR
MS,MS
MT,MT
MU,MU
multilateral-total,
MV,MV
MW,MW
MX,MX
MY,MY
MZ,MZ
NA,NA
NC,NC
NE,NE
NF,NF
NG,NG
NI,NI
NL,NL
NO,NO
non-dac-countries-total,
nordic-dev-fund,
north-central-america,
north-of-sahara,
NP,NP
NR,NR
NU,NU
NZ,NZ
oceania,
ofid,
OM,OM
organisation-unspecified,
osce,
other-donor-countries,
other-multilaterals,
other-multilateral-total,
PA,PA
PE,PE
PF,PF
PG,PG
PH,PH
PK,PK
PL,PL
PM,PM
PN,PN
PR,PR
private-donors-total,
PS,PS
PT,PT
PW,PW
PY,PY
QA,QA
RE,RE
regional-development-banks-total,
region-unspecified,
RO,RO
RS,RS
RU,RU
RW,RW
SA,SA
SB,SB
SC,SC
SD,SD
SE,SE
SG,SG
SH,SH
SI,SI
SJ,SJ
SK,SK
SL,SL
SM,SM
SN,SN
SO,SO
south-america,
south-asia,
south-central-asia,
south-of-sahara,
SR,SR
SS,SS
ST,ST
SV,SV
SX,SX
SY,SY
SZ,SZ
TC,TC
TD,TD
TF,TF
TG,TG
TH,TH
TJ,TJ
TK,TK
TL,TL
TM,TM
TN,TN
TO,TO
TR,TR
TT,TT
TV,TV
TW,TW
TZ,TZ
UA,UA
UG,UG
UM,UM
un-agencies,
unaids,
undp,
unece,
unep,
unfpa,
unhcr,
unicef,
united-nations-total,
unpbf,
unrwa,
unta,
US,US
UY,UY
UZ,UZ
VA,VA
VC,VC
VE,VE
VG,VG
VI,VI
VN,VN
VU,VU
west-indies,
WF,WF
wfp,
who,
world-bank-group,
world-bank-total,
WS,WS
XK,XK
YE,YE
YT,YT
ZA,ZA
ZM,ZM
ZW,ZW
