donor_code,alpha_2_code
1,AT
2,BE
3,DK
4,FR
5,DE
6,IT
7,NL
8,NO
9,PT
10,SE
11,CH
12,GB
18,FI
20,IS
21,IE
22,LU
30,CY
40,GR
45,MT
50,ES
55,TR
61,SI
62,HR
68,CZ
69,SK
70,LI
72,BG
75,HU
76,PL
77,RO
82,EE
83,LV
84,LT
87,RU
104,
130,DZ
133,LY
301,CA
302,US
543,IQ
546,IL
552,KW
561,QA
566,SA
576,AE
611,AZ
613,KZ
701,JP
732,TW
742,KR
764,TH
765,TL
801,AU
807,
811,
812,
820,NZ
901,
903,
905,
906,
907,
909,
912,
913,
914,
915,
916,
918,
921,
923,
928,
932,
940,
944,
948,
951,
953,
958,
959,
960,
963,
964,
966,
967,
971,
974,
976,
978,
988,
990,
992,
1011,
1012,
1013,
1311,
1312,
1313,
1601,
20001,
20002,
20003,
20004,
20005,
20006,
20007,
20011,
20012,
20013,
20014,
20015,
20016,
20018,
20021,
20022,
20033,
20034,
21600,
